Month_End,Ticker,In_Nifty200
2025-04-30,FEDERALBNK,True
2025-04-30,GLENMARK,True
2025-04-30,GODREJCP,True
2025-04-30,GODREJIND,True
2025-04-30,GODREJPROP,True
2025-04-30,GRASIM,True
2025-04-30,HAL,True
2025-04-30,HAVELLS,True
2025-04-30,HCLTECH,True
2025-04-30,HDFC,True
2025-04-30,HDFCAMC,True
2025-04-30,HDFCBANK,True
2025-04-30,HDFCLIFE,True
2025-04-30,HEROMOTOCO,True
2025-04-30,HINDALCO,True
2025-04-30,HINDCOPPER,True
2025-04-30,HINDPETRO,True
2025-04-30,HINDZINC,True
2025-04-30,HUDCO,True
2025-04-30,HYUNDAI,True
2025-04-30,ICICIBANK,True
2025-04-30,ICICIGI,True
2025-04-30,IDFCFIRSTB,True
2025-04-30,IGL,True
2025-04-30,INDIANB,True
2025-04-30,INDIGO,True
2025-04-30,INDUSINDBK,True
2025-04-30,INDUSTOWER,True
2025-04-30,INFY,True
2025-04-30,IOC,True
2025-04-30,IRB,True
2025-04-30,IRCTC,True
2025-04-30,IREDA,True
2025-04-30,IRFC,True
2025-04-30,ITC,True
2025-04-30,JINDALSTEL,True
2025-04-30,JIOFIN,True
2025-04-30,JSWENERGY,True
2025-04-30,JSWSTEEL,True
2025-04-30,JUBLFOOD,True
2025-04-30,KALYANKJIL,True
2025-04-30,KOTAKBANK,True
2025-04-30,KPITTECH,True
2025-04-30,LICHSGFIN,True
2025-04-30,LICI,True
2025-04-30,LODHA,True
2025-04-30,LT,True
2025-04-30,LUPIN,True
